"Informazioni cronologiche","Nome utente","1° classificato","2° classificato","3° classificato","4° classificato","5° classificato","6° classificato","7° classificato","8° classificato","9° classificato","10° classificato"
"2022/09/03 10:00:29 AM EET",4480837,"Patetico Mineiro","Ire Framba United","Pompy FC","Real Pollo","ApoelKan","Reggisenal","Team Barco FC","Godopoli Sportiva","Paris Saint Germano","Medusa Team"
"2022/09/03 11:15:02 AM EET",5332606,"Patetico Mineiro","Godopoli Sportiva","Medusa Team","Pompy FC","Paris Saint Germano","Team Barco FC","Reggisenal","Real Pollo","Medusa Team","ApoelKan"
"2022/09/03 11:18:00 AM EET",9242836,"Real Pollo","Godopoli Sportiva","ApoelKan","Pompy FC","Paris Saint Germano","Patetico Mineiro","Team Barco FC","Ire Framba United","Medusa Team","Reggisenal"
"2022/09/03 12:06:14 PM EET",4485329,"Paris Saint Germano","Godopoli Sportiva","Ire Framba United","ApoelKan","Pompy FC","Real Pollo","Team Barco FC","Reggisenal","Medusa Team","Patetico Mineiro"
"2022/09/03 6:20:14 PM EET",4483105,"Paris Saint Germano","Godopoli Sportiva","Real Pollo","ApoelKan","Ire Framba United","Team Barco FC","Patetico Mineiro","Pompy FC","Reggisenal","Medusa Team"
"2022/09/03 6:22:01 PM EET",4480737,"Godopoli Sportiva","Real Pollo","Patetico Mineiro","Team Barco FC","ApoelKan","Pompy FC","Ire Framba United","Medusa Team","Paris Saint Germano","Reggisenal"
"2022/09/04 2:54:06 PM EET",5332804,"Godopoli Sportiva","ApoelKan","Medusa Team","Ire Framba United","Real Pollo","Reggisenal","Team Barco FC","Patetico Mineiro","Paris Saint Germano","Pompy FC"
"2022/09/04 4:41:03 PM EET",5330685,"Godopoli Sportiva","Ire Framba United","Paris Saint Germano","Patetico Mineiro","Pompy FC","Real Pollo","Team Barco FC","Paris Saint Germano","Medusa Team","Reggisenal"
"2022/09/05 10:13:49 AM EET",4480615,"Real Pollo","Pompy FC","Reggisenal","Team Barco FC","Paris Saint Germano","Godopoli Sportiva","Medusa Team","Ire Framba United","Patetico Mineiro","ApoelKan"
"2022/09/06 1:21:19 PM EET",4481779,"Real Pollo","Paris Saint Germano","Godopoli Sportiva","ApoelKan","Ire Framba United","Patetico Mineiro","Pompy FC","Reggisenal","Team Barco FC","Medusa Team"
