"Informazioni cronologiche","Nome utente","1° classificato","2° classificato","3° classificato","4° classificato","5° classificato","6° classificato","7° classificato","8° classificato","9° classificato","10° classificato","11° classificato","12° classificato"
"2024/09/08 3:17:25 PM EEST","4480737","Real David","Pompy FC","ChangjaEverton","Reggisenal","Paris Saint Germano","Godopolisportiva Lele Adani","Real Pollo","Team Barco F.C.","Ire Framba United","Owl City","MedusaTeam WFC IL BLOCCO","YRC F.C."
"2024/09/08 3:22:08 PM EEST","5332606","Real David","Reggisenal","Owl City","ChangjaEverton","Paris Saint Germano","Pompy FC","Real Pollo","YRC F.C.","MedusaTeam WFC IL BLOCCO","Ire Framba United","Godopolisportiva Lele Adani","Team Barco F.C."
"2024/09/08 3:23:22 PM EEST","4480565","Real Pollo","ChangjaEverton","Pompy FC","Godopolisportiva Lele Adani","MedusaTeam WFC IL BLOCCO","Paris Saint Germano","Real David","Owl City","Ire Framba United","YRC F.C.","Team Barco F.C.","Reggisenal"
"2024/09/08 3:35:23 PM EEST","5332804","Real David","Real Pollo","Ire Framba United","Godopolisportiva Lele Adani","ChangjaEverton","Reggisenal","Owl City","Owl City","Paris Saint Germano","Pompy FC","YRC F.C.","MedusaTeam WFC IL BLOCCO"
"2024/09/08 3:48:18 PM EEST","4481779","Reggisenal","Team Barco F.C.","Real David","Godopolisportiva Lele Adani","Ire Framba United","MedusaTeam WFC IL BLOCCO","Paris Saint Germano","ChangjaEverton","Pompy FC","Owl City","ChangjaEverton","Godopolisportiva Lele Adani"
"2024/09/12 1:06:26 PM EEST","4480837","Reggisenal","Real David","YRC F.C.","Real Pollo","MedusaTeam WFC IL BLOCCO","Paris Saint Germano","Team Barco F.C.","Owl City","Pompy FC","Ire Framba United","MedusaTeam WFC IL BLOCCO","ChangjaEverton"
"2024/09/12 1:28:22 PM EEST","4480615","Real Pollo","Real David","Paris Saint Germano","Reggisenal","MedusaTeam WFC IL BLOCCO","ChangjaEverton","Owl City","YRC F.C.","Ire Framba United","Team Barco F.C.","Godopolisportiva Lele Adani","Pompy FC"
"2024/09/12 1:43:02 PM EEST","4483105","YRC F.C.","Real Pollo","Reggisenal","Godopolisportiva Lele Adani","MedusaTeam WFC IL BLOCCO","Team Barco F.C.","Real David","Paris Saint Germano","Owl City","ChangjaEverton","Pompy FC","Ire Framba United"
"2024/09/12 3:52:40 PM EEST","4485329","Real Pollo","Real David","Paris Saint Germano","Godopolisportiva Lele Adani","MedusaTeam WFC IL BLOCCO","Pompy FC","Owl City","Reggisenal","Team Barco F.C.","Ire Framba United","YRC F.C.","ChangjaEverton"
"2024/09/12 9:27:50 PM EEST","10898860","Real David","ChangjaEverton","Paris Saint Germano","Team Barco F.C.","Reggisenal","YRC F.C.","Pompy FC","Real Pollo","Godopolisportiva Lele Adani","MedusaTeam WFC IL BLOCCO","Ire Framba United","Owl City"
